"","Enclosed","Dome","Cavity","Open","Egg","Ground","Cooperative","Clutch","Migration","pred","tmean","dtr","hurs","rsds","vpd","precp","wind","Order"
"Acanthiza_ewingii",1,1,0,0,0.378436435720245,0,0,1.252762968,1,16.1055900621118,10.4855729956064,7.1869153966568,62.0038789547748,18.7214135709016,493.530601485669,112.954044105103,3.43342219327054,"Passeriformes"
"Acanthiza_inornata",1,1,1,0,0.300104592450338,0,1,1.386294361,1,28.3815384615385,16.1795715097281,10.0550193845309,56.3307831045298,22.2540669808021,829.12967576247,43.8386543684739,3.47543914648203,"Passeriformes"
"Acanthiza_iredalei",1,1,0,0,-0.0725706928348354,0,1,1.098612289,1,29.7344374643061,20.2982958598112,13.3601903397992,48.5179226176525,24.4453751097265,1274.79835692383,20.050332301416,4.58473505570778,"Passeriformes"
"Acanthiza_katherina",1,1,0,0,0.266533505705336,0,1,0.693147181,1,62.4376899696049,22.1929058318443,9.67548748932349,60.3091240277044,19.7992935992302,1083.207166121,102.026986443888,3.22111909548925,"Passeriformes"
"Acanthiza_lineata",1,1,0,0,0.27763173659828,0,1,1.098612289,1,41.1912936848559,17.8507375049123,11.0014449968285,54.3490123766321,22.2522116479225,978.333452048147,63.2247279694591,3.25746377586295,"Passeriformes"
"Acanthiza_murina",1,1,0,0,0.443784408059329,0,1,0.693147181,1,18.8222996515679,12.4808434310275,7.07129991179144,69.7715955063026,14.964417763288,440.262427991276,419.505717473578,1.30853687346189,"Passeriformes"
"Acanthiza_nana",1,1,0,0,0.29266961396282,0,1,1.252762968,1,42.4334065495208,20.1461657290451,11.3241756469868,52.2543406452234,22.532640403452,1189.24852306927,58.0751573064457,3.40086589692928,"Passeriformes"
"Acanthiza_pusilla",1,1,0,0,0.336472236621213,1,0,1.098612289,1,40.7884509624198,17.4544483285339,10.3860367219892,56.2997182613551,21.4322486069747,921.586746173862,75.9509649526734,3.0208378539623,"Passeriformes"
"Acanthiza_reguloides",1,1,1,0,0.198850858745165,1,1,1.252762968,1,43.4626312538604,20.2059717173436,11.2361175794525,53.0166233931399,22.2203766899588,1170.82105904654,61.705122879952,3.32076618047759,"Passeriformes"
"Acanthiza_robustirostris",1,1,0,0,0.285178942233662,0,0,0.916290732,2,34.7073775004588,23.9867999925157,14.1012149193152,42.3051402763525,25.2187311260344,1785.81063780607,20.5027030646681,4.57162064802846,"Passeriformes"
"Acanthiza_uropygialis",1,1,1,0,0.165514438477573,0,1,1.098612289,1,35.4003868471954,22.0703089402391,13.2395327145298,45.8605105167159,24.499923733808,1522.11827398374,25.1119128632927,4.35413166135419,"Passeriformes"
"Acanthorhynchus_superciliosus",0,0,0,1,0.548121408509688,0,0,0.405465108,1,27.2193475815523,16.1745953522329,10.1593632285051,56.1987890794924,22.1299746098213,826.430257550509,40.3419954066067,3.55234526676054,"Passeriformes"
"Acanthorhynchus_tenuirostris",0,0,0,1,0.582215619852664,0,0,0.916290732,1,40.4265413706165,16.6682523230798,9.77740332524546,57.821012118801,21.0167491640925,840.869974245207,86.5181917566076,2.9245765914399,"Passeriformes"
"Acanthornis_magna",1,1,0,0,0.587786664902119,0,0,1.252762968,1,16.0787878787879,10.2567844477567,7.24767479752049,62.5991014307195,18.4840824473988,478.809187455611,124.056163371693,3.2690719944058,"Passeriformes"
"Accipiter_badius",0,0,0,1,3.04452243772342,0,0,1.098612289,3,93.349859032157,24.1080352078691,10.9648073428011,53.8969597931746,20.5813953673053,1465.25441413561,87.6237024631621,2.72284978403541,"Accipitriformes"
"Accipiter_bicolor",0,0,0,1,3.46573590279973,0,0,0.693147181,2,147.051272652079,24.2833705581739,7.89129765270904,64.6987447049871,17.7052874571937,1092.05564814756,171.991785684997,1.78024685691477,"Accipitriformes"
"Accipiter_brevipes",0,0,0,1,3.0842009215416,0,0,1.386294361,3,50.0552558508528,12.8088290237993,10.5526199962732,54.2127904940389,19.3320711810737,820.584793824404,39.9044257408946,3.84146263261534,"Accipitriformes"
"Accipiter_chilensis",0,0,0,1,3.46573590279973,0,0,0.754695306,2,147.051272652079,24.2833705581739,7.89129765270904,64.6987447049871,17.7052874571937,1092.05564814756,171.991785684997,1.78024685691477,"Accipitriformes"
"Accipiter_chionogaster",0,0,0,1,2.96010509591084,0,0,0.754695306,3,62.9466705010225,9.4252128243591,11.1198226748251,55.5465391635407,20.7452707425644,625.34107449279,78.4987615687594,2.90458620898235,"Accipitriformes"
